key,it
button.change,Modifica
button.information,Informazione
button.language,Lingua
button.paytable,Tabella dei pagamenti
button.save,Salva
button.start-autoplay,Avvia la riproduzione automatica
button.volume,Volume
caption.audio-settings,IMPOSTAZIONI AUDIO
caption.autoplay-settings,IMPOSTAZIONI DI RIPRODUZIONE AUTOMATICA
caption.game-rules,REGOLE DEL GIOCO
caption.language,LINGUA
error.insuficient-credit,Senza soldi
error.insuficient-credit-message,Per favore deposita più soldi per continuare a giocare
info.replay-intro-header,Questo round è stato giocato
label.bet,Scommessa
label.copied,Copiato
lam.congratulations-img,CongratulationsItalian
label.copy,copia
label.credit,Credito
label.date-and-time,Data e ora
label.effects,Effetti
label.free-respin,Respin gratuito
label.free-spins,Giri gratuiti
label.game-info,Informazioni del gioco
label.game-pays,VITTORIA TOTALE
label.game-settings,Impostazioni di gioco
label.multiplier,Moltiplicatore
label.music,Musica
label.nr-autospins,Numero di giri automatici
label.paytable,Tabella dei pagamenti
label.player-history,Storia del giocatore
label.quick-spin,Giro veloce
label.result,Risultato
label.settings,Impostazioni
label.share,Condividere
label.stop-on-bonus,Interrompi se viene vinta la funzione bonus
label.top-multiplier,I migliori moltiplicatori
label.top-win,Le migliori vittorie
label.top-win-global,La migliore vittoria globale
label.top-wins-global,I migliori vincono a livello globale
label.watch,Orologio
label.win,Vincita
message.click-anywhere,Fare clic in un punto qualsiasi per continuare
message.click-for-respin,Fare clic per un respin gratuito
message.congratulation,Congratulazioni
message.do-better,Potresti fare di meglio
message.amount,importo
message.greeting,Buona fortuna!
message.max-payout-reached,Pagamento massimo raggiunto!
message.won-spins,Hai vinto {importo}
message.press-click-spin,Premi il pulsante Spin
message.press-spin,Fare clic su Gira per iniziare
message.won-free-spins,Hai vinto {importo} giri gratuiti
mgd.info-devil-spins-1,Tre o quattro SCATTER attivano GIRI GRATIS.
mgd.info-devil-spins-2,SCATTERS aggiuntivi assegnano GIRI GRATUITI extra
mgd.info-devil-spins-3,Sostituisce tutti i simboli tranne SCATTER.
mgd.info-devil-spins-4,Vinci di più con STICKY WILDS
"mgd.info-gamerules,""{b}Informazioni{/b} {fill}Tutte le vincite pagano da sinistra a destra, a condizione che appaiano su rulli adiacenti e a partire dal rullo più a sinistra. Viene pagata solo la vincita più alta per modalità di vincita. Tutte le vincite derivanti dalle modalità vincenti vengono sommate. Una volta che i rulli si fermano, tutte le combinazioni vincenti verranno evidenziate. Tutti i valori di pagamento dei simboli nella tabella dei pagamenti vengono visualizzati nella stessa valuta della scommessa piazzata. La tabella dei pagamenti riflette il valore attuale della scommessa. I malfunzionamenti annullano tutte le vincite e le giocate.{fill}"""
"mgd.info-gamerules-2,""{b}Azioni{/b} {color=#FFBF00}SCOMMESSA{/color} L'importo scommesso in ogni round. {color=#FFBF00}CREDITO{/color} Il saldo disponibile per giocare. {color=#FFBF00}DIMENSIONE PUNTATA{/color} Per modificare l'importo della scommessa, utilizza {IMG-PLUS} {IMG-MINUS}. {color=#FFBF00}GIRA/BARRA SPAZIATRICE{/color} Fai clic su {IMG-GIRA} o premi la barra spaziatrice per iniziare un round di gioco. {color=#FFBF00}GIOCO AUTOMATICO{/color} Fai clic su GIOCO AUTOMATICO {IMG-AUTOPLAY} per impostare un certo numero di round automatici. {color=#FFBF00}GIRO RAPIDO{/color} Il flag LIGHTNING {IMG-QUICKSPIN}, se selezionato, ti consente di impostare una velocità di rotazione più elevata. {color=#FFBF00}SUONO{/color} Fai clic sul pulsante {IMG-SUONO} per regolare il volume della musica e degli effetti sonori. {color=#FFBF00}MENU{/color} Fai clic sul pulsante {IMG-BURGERMENU} per modificare le impostazioni e visualizzare la tabella dei pagamenti, la cronologia del gioco e le informazioni sul gioco."""
mgd.info-gamerules-3,{b}Informazioni sul gioco{/b} Scommessa minima: {GAMEINFO-MINBET} Scommessa massima: {GAMEINFO-MAXBET} RTP: {GAMEINFO-SIMRTP} Volatilità: alta Versione client di gioco: {GAMEINFO-CLIENTVERSION}
